"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"660","일반음식점","07_24_04_P","6520000","6520000-101-2023-00392","2023-11-21","","03","폐업","02","폐업","2024-11-08","","","","","87.85","699-914","제주특별자치도 서귀포시 표선면 표선리 694-2","제주특별자치도 서귀포시 표선면 표선동서로 247, 2층","63629","우리두리","2024-11-08 17:47:21","U","2024-11-10 02:40:00","분식","184331.940771691","-18898.9129879615","분식","0","0","","","","0","0","0","0","0","","0","0","N","87.85","","","",
"661","일반음식점","07_24_04_P","4390000","4390000-101-2023-00307","2023-11-21","","03","폐업","02","폐업","2024-03-12","","","","","28.08","380-959","충청북도 충주시 봉방동 4-28","충청북도 충주시 무학4길 6 (봉방동)","27405","미니네족발","2024-03-12 09:49:28","U","2024-03-14 02:40:00","한식","282510.746439805","386216.747651372","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","28.08","","","",
"662","일반음식점","07_24_04_P","3430000","3430000-101-2023-00148","2023-11-21","","03","폐업","02","폐업","2024-01-24","","","","","94.10","703-807","대구광역시 서구 내당동 924-4","대구광역시 서구 평리로 422-6, 1층 (내당동)","41869","대보중화포차","2024-01-24 14:14:20","U","2024-01-26 02:40:00","중국식","341685.557146356","264080.534148358","중국식","0","0","","","","0","0","0","0","0","","0","0","N","94.1","","","",
"663","일반음식점","07_24_04_P","3180000","3180000-101-2023-00874","2023-11-14","","03","폐업","02","폐업","2023-11-26","","","","","6.60","150-945","서울특별시 영등포구 여의도동 23 서울 국제금융 센터","서울특별시 영등포구 국제금융로 10, IFC몰 L3층 (여의도동)","07326","(주)엠케이펍","2023-11-27 04:15:09","U","2023-11-29 02:40:00","기타","193326.931018911","446973.914570276","기타","0","0","","","","0","0","0","0","0","","0","0","N","6.6","","","",
"664","일반음식점","07_24_04_P","3180000","3180000-101-2023-00873","2023-11-14","","03","폐업","02","폐업","2024-08-01","","","","","19.82","150-819","서울특별시 영등포구 대림동 834-12","서울특별시 영등포구 대림로17길 2, 1층 102호 (대림동)","07418","사천맛집","2024-08-01 15:37:03","U","2024-08-03 02:40:00","중국식","191213.971748329","443390.776064629","중국식","0","0","","","","0","0","0","0","0","","0","0","N","19.82","","","",
"665","일반음식점","07_24_04_P","3190000","3190000-101-2023-00280","2023-10-16","","03","폐업","02","폐업","2024-11-22","","","","","46.13","156-811","서울특별시 동작구 대방동 407-38","서울특별시 동작구 여의대방로24길 137, 2층 202호 (대방동)","07055","해장명가 막내아들","2024-11-22 09:15:03","U","2024-11-24 02:40:00","기타","193540.522788753","444117.032494836","기타","0","0","","","","0","0","0","0","0","","0","0","N","46.13","","","",
"666","일반음식점","07_24_04_P","3310000","3310000-101-2023-00149","2023-09-20","","03","폐업","02","폐업","2024-02-19","","","","051 8068282","8.80","608-828","부산광역시 남구 문현동 255-30 무학프라자","부산광역시 남구 수영로 74-5, 지하111호 (문현동, 무학프라자)","48457","아구로포차","2024-02-19 15:43:39","U","2024-02-21 02:40:00","한식","389078.690511467","183697.200816703","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","8.8","","","",
"667","일반음식점","07_24_04_P","3090000","3090000-101-2023-00162","2023-09-20","","03","폐업","02","폐업","2023-12-29","","","","","21.60","132-848","서울특별시 도봉구 방학동 666-13","서울특별시 도봉구 방학로10길 28, 1층 좌측호 (방학동)","01356","낭만포차","2023-12-29 13:08:28","U","2023-12-31 02:40:00","한식","202862.748044108","462346.061679691","한식","0","0","","","","0","0","0","0","0","","0","0","N","21.6","","","",
"668","일반음식점","07_24_04_P","3090000","3090000-101-2023-00161","2023-09-20","","03","폐업","02","폐업","2024-06-17","","","","","40.00","132-816","서울특별시 도봉구 도봉동 584-5 1층","서울특별시 도봉구 도봉로169가길 9, 1층 (도봉동)","01305","타이난","2024-06-17 15:39:10","U","2024-06-19 02:40:00","경양식","203756.655122252","464206.01060597","경양식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","40","","","",
"669","일반음식점","07_24_04_P","3090000","3090000-101-2013-00246","2013-08-30","","03","폐업","02","폐업","2023-09-20","","","","02  900 1399","73.62","132-040","서울특별시 도봉구 창동 820 201-203호","서울특별시 도봉구 노해로63가길 63, 상가동 201,202,203호 (창동, 신도브래뉴1차아파트)","01400","더차우","2023-09-20 15:28:54","I","2023-09-22 00:18:14","정종/대포집/소주방","203921.011371351","461535.732169682","정종/대포집/소주방","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","73.62","","","",
"670","일반음식점","07_24_04_P","3740000","3770000-101-2023-00364","2023-10-10","","03","폐업","02","폐업","2023-11-12","","","","","","442-784","경기도 수원시 팔달구 매산로1가 18 AK플라자","경기도 수원시 팔달구 덕영대로 924, AK플라자 지하1층 (매산로1가)","16622","훈스파이","2023-11-13 04:15:09","U","2023-11-15 02:40:00","기타","199920.194662903","418246.927112644","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"671","일반음식점","07_24_04_P","3740000","3750000-101-2023-00164","2023-10-10","","03","폐업","02","폐업","2023-10-14","","","","","","440-818","경기도 수원시 장안구 영화동 284-5 한도체육사","경기도 수원시 장안구 정조로922번길 1, 장안문 거북시장길 (영화동)","16269","영화잔치국수","2023-10-15 04:15:09","U","2023-10-17 02:40:00","한식","201123.961934647","420922.852439344","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"672","일반음식점","07_24_04_P","5170000","5170000-101-2023-00011","2023-10-10","","03","폐업","02","폐업","2023-10-12","","","","","","764-805","경상북도 영양군 영양읍 서부리 22-1 영양공설운동장","경상북도 영양군 영양읍 군민회관길 75, 영양공설운동장","36540","구내식당","2023-10-13 04:15:08","U","2023-10-15 02:40:00","한식","389453.911814556","352784.005738773","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"673","일반음식점","07_24_04_P","5170000","5170000-101-2023-00010","2023-10-10","","03","폐업","02","폐업","2023-10-12","","","","","","764-805","경상북도 영양군 영양읍 서부리 22-1 영양공설운동장","경상북도 영양군 영양읍 군민회관길 75, 영양공설운동장","36540","대성식당","2023-10-13 04:15:08","U","2023-10-15 02:40:00","한식","389453.911814556","352784.005738773","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"674","일반음식점","07_24_04_P","5170000","5170000-101-2023-00009","2023-10-10","","03","폐업","02","폐업","2023-10-12","","","","","","764-805","경상북도 영양군 영양읍 서부리 22-1 영양공설운동장","경상북도 영양군 영양읍 군민회관길 75, 영양공설운동장","36540","일월식당","2023-10-13 04:15:08","U","2023-10-15 02:40:00","한식","389453.911814556","352784.005738773","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"675","일반음식점","07_24_04_P","5170000","5170000-101-2023-00008","2023-10-10","","03","폐업","02","폐업","2023-10-11","","","","","","764-804","경상북도 영양군 영양읍 동부리 550-6","경상북도 영양군 영양읍 군청길 49","36537","산적","2023-10-12 04:15:08","U","2023-10-14 02:40:00","한식","388933.757030784","353798.927005213","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"676","일반음식점","07_24_04_P","3550000","3550000-101-2023-00153","2023-10-10","","03","폐업","02","폐업","2024-04-17","","","","","93.40","407-816","인천광역시 계양구 작전동 448-7 HOME PLUS 작전점 2층 일부호","인천광역시 계양구 계양대로 27, HOME PLUS 작전점 2층 일부호 (작전동)","21111","달콩콩 탕후루","2024-04-17 11:40:05","U","2024-04-19 02:40:00","기타","175291.982296046","447141.041163927","기타","0","0","","","","0","0","0","0","0","","0","0","N","93.4","","","",
"677","일반음식점","07_24_04_P","4040000","4040000-101-2023-00525","2023-10-10","","03","폐업","02","폐업","2023-10-31","","","","","57.54","465-010","경기도 하남시 덕풍동 831-1 현대지식산업센터 한강미사2차(25BL)","경기도 하남시 미사대로 520, 현대지식산업센터 한강미사2차(25BL) C동 2층 22호 (덕풍동)","12925","미진이네","2023-10-31 17:32:01","U","2023-11-02 02:40:00","한식","217964.353815516","450753.941494285","한식","0","0","","","","0","0","0","0","0","","0","0","N","57.54","","","",
"678","일반음식점","07_24_04_P","3720000","3720000-101-2023-00262","2023-11-24","","03","폐업","02","폐업","2024-07-15","","","","","233.43","683-220","울산광역시 북구 구유동 217","울산광역시 북구 동해안로 1329, 지상1층 (구유동)","44233","전복시대","2024-07-15 15:39:39","U","2024-07-17 02:40:00","한식","422468.13690869","237190.038217253","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","233.43","","","",
"679","일반음식점","07_24_04_P","3520000","3520000-101-2023-00675","2023-11-23","","03","폐업","02","폐업","2023-12-21","","","","","69.30","406-818","인천광역시 연수구 연수동 599-1 이리옴3빌딩 지상1층 109일부,110호","인천광역시 연수구 먼우금로188번길 12, 이리옴3빌딩 지상1층 109일부,110호 (연수동)","21927","보승회관 연수점","2023-12-21 15:30:53","U","2023-12-23 02:40:00","한식","171291.980037048","434637.680459609","한식","0","0","","","","0","0","0","0","0","","0","0","N","69.3","","","",
